text,sentiment
"Perusahaan teknologi melaporkan peningkatan pengguna yang signifikan.",positif
"Penurunan harga minyak global membebani sektor energi.",negatif
"Perusahaan mencatat rekor penjualan dalam kuartal terakhir.",positif
"Kenaikan suku bunga menyebabkan kekhawatiran di kalangan investor.",negatif
"Inovasi produk baru disambut baik oleh pasar.",positif
"Penurunan harga komoditas mempengaruhi saham pertambangan.",negatif
"Laporan keuangan yang kuat mendorong kenaikan harga saham.",positif
"Krisis kesehatan global menyebabkan volatilitas pasar.",negatif
"Perusahaan mencapai kesepakatan besar dengan mitra internasional.",positif
"Penghargaan dari pemerintah meningkatkan citra perusahaan.",positif
"Penurunan permintaan dari pasar luar negeri membebani kinerja perusahaan.",negatif
"Perusahaan memperluas jaringan distribusi untuk meningkatkan penjualan.",positif
"Kenaikan tarif impor menghambat pertumbuhan industri.",negatif
"Inisiatif digitalisasi perusahaan diterima positif oleh pasar.",positif
"Pengumuman kerugian kuartal menyebabkan saham anjlok.",negatif
"Saham teknologi melonjak setelah pengumuman kerjasama baru.",positif
"Kebijakan fiskal baru memberikan dorongan bagi pasar saham.",positif
"Pelemahan ekonomi global membebani sentimen pasar saham.",negatif
"Perusahaan mengumumkan program CSR yang ambisius.",positif
"Penurunan penjualan retail menyebabkan saham jatuh.",negatif
"Inovasi teknologi baru meningkatkan efisiensi operasional perusahaan.",positif
"Ketidakpastian kebijakan moneter membebani pasar saham.",negatif
"Perusahaan memperoleh kontrak besar dari pemerintah.",positif
"Penurunan harga komoditas energi membebani kinerja perusahaan.",negatif
"Kenaikan pendapatan perusahaan mengalahkan ekspektasi analis.",positif
"Krisis politik di Timur Tengah mempengaruhi pasar energi.",negatif
"Strategi diversifikasi bisnis perusahaan diterima positif oleh pasar.",positif
"Penurunan permintaan produk menyebabkan pengurangan produksi.",negatif
"Perusahaan melaporkan peningkatan laba bersih yang signifikan.",positif
"Krisis ekonomi menyebabkan penurunan harga saham secara luas.",negatif
"Saham perusahaan konstruksi naik setelah proyek baru diumumkan.",positif
"Pengurangan tenaga kerja menyebabkan kekhawatiran investor.",negatif
"Perusahaan mengumumkan rencana ekspansi ke pasar internasional.",positif
"Penurunan harga logam mulia mempengaruhi saham sektor pertambangan.",negatif
"Pengembangan produk baru diterima baik oleh pasar.",positif
"Kenaikan biaya bahan baku menekan margin keuntungan perusahaan.",negatif
"Inisiatif hijau perusahaan mendapat dukungan dari investor.",positif
"Pengumuman kerugian kuartal menyebabkan saham jatuh.",negatif
"Perusahaan mengumumkan peningkatan dividen bagi pemegang saham.",positif
"Penurunan permintaan global mempengaruhi kinerja ekspor perusahaan.",negatif
"Perusahaan memperoleh penghargaan atas inovasi produk.",positif
"Penurunan harga minyak mentah mempengaruhi saham energi.",negatif
"Saham naik setelah pengumuman laporan keuangan yang kuat.",positif
"Investor khawatir tentang potensi resesi ekonomi global.",negatif
"Perusahaan melaporkan peningkatan laba operasional yang signifikan.",positif
"Ketidakpastian politik regional mempengaruhi pasar saham.",negatif
"Akuisisi strategis oleh perusahaan besar diterima baik oleh pasar.",positif
"Laporan pendapatan yang mengecewakan menekan harga saham.",negatif
"Perusahaan teknologi melaporkan rekor peningkatan pengguna.",positif
"Penurunan harga komoditas membebani saham sektor pertambangan.",negatif
"Kenaikan laba bersih perusahaan menarik minat investor.",positif
"Krisis ekonomi global menyebabkan penurunan harga saham secara luas.",negatif
"Pengumuman produk baru meningkatkan minat investor.",positif
"Penurunan permintaan menyebabkan saham turun.",negatif
"Perusahaan mengumumkan rencana merger strategis.",positif
"Krisis kesehatan global menyebabkan volatilitas pasar saham.",negatif
"Perusahaan mencatat peningkatan penjualan tahunan yang signifikan.",positif
"Investor khawatir tentang kenaikan inflasi dan suku bunga.",negatif
"Akuisisi oleh perusahaan besar diterima positif oleh pasar.",positif
"Laporan pendapatan yang mengecewakan menekan harga saham.",negatif
"Perusahaan mengumumkan peningkatan dividen bagi pemegang saham.",positif
"Ketidakpastian ekonomi global menyebabkan investor berhati-hati.",negatif
"Inovasi teknologi baru meningkatkan efisiensi operasional perusahaan.",positif
"Penurunan permintaan global membebani kinerja ekspor perusahaan.",negatif
"Saham teknologi melonjak setelah pengumuman kerjasama baru.",positif
"Kebijakan fiskal baru memberikan dorongan bagi pasar saham.",positif
"Pelemahan ekonomi global membebani sentimen pasar saham.",negatif
"Perusahaan memperoleh kontrak besar dari pemerintah.",positif
"Penurunan harga komoditas energi membebani kinerja perusahaan.",negatif
"Strategi diversifikasi bisnis perusahaan diterima positif oleh pasar.",positif
"Kenaikan pendapatan perusahaan mengalahkan ekspektasi analis.",positif
"Krisis politik di Timur Tengah mempengaruhi pasar energi.",negatif
"Saham perusahaan konstruksi naik setelah proyek baru diumumkan.",positif
"Pengurangan tenaga kerja menyebabkan kekhawatiran investor.",negatif
"Perusahaan melaporkan peningkatan laba bersih yang signifikan.",positif
"Krisis ekonomi menyebabkan penurunan harga saham secara luas.",negatif
"Perusahaan mengumumkan rencana ekspansi ke pasar internasional.",positif
"Penurunan harga logam mulia mempengaruhi saham sektor pertambangan.",negatif
"Pengembangan produk baru diterima baik oleh pasar.",positif
"Kenaikan biaya bahan baku menekan margin keuntungan perusahaan.",negatif
"Inisiatif hijau perusahaan mendapat dukungan dari investor.",positif
"Pengumuman kerugian kuartal menyebabkan saham jatuh.",negatif
"Perusahaan memperoleh penghargaan atas inovasi produk.",positif
"Penurunan harga minyak mentah mempengaruhi saham energi.",negatif
"Saham naik setelah pengumuman laporan keuangan yang kuat.",positif
"Investor khawatir tentang potensi resesi ekonomi global.",negatif
"Perusahaan melaporkan peningkatan laba operasional yang signifikan.",positif
"Ketidakpastian politik regional mempengaruhi pasar saham.",negatif
"Penghargaan dari pemerintah meningkatkan citra perusahaan.",positif
"Penurunan permintaan dari pasar luar negeri membebani kinerja perusahaan.",negatif
"Perusahaan memperluas jaringan distribusi untuk meningkatkan penjualan.",positif
"Kenaikan tarif impor menghambat pertumbuhan industri.",negatif
"Inisiatif digitalisasi perusahaan diterima positif oleh pasar.",positif
"Pengumuman kerugian kuartal menyebabkan saham anjlok.",negatif
"Strategi diversifikasi bisnis perusahaan diterima positif oleh pasar.",positif
"Ketidakpastian kebijakan moneter membebani pasar saham.",negatif
"Perusahaan memperoleh penghargaan atas inovasi produk.",positif
"Penurunan harga minyak mentah mempengaruhi saham energi.",negatif
"Saham teknologi melonjak setelah pengumuman kerjasama baru.",positif
"Kebijakan fiskal baru memberikan dorongan bagi pasar saham.",positif
"Pelemahan ekonomi global membebani sentimen pasar saham.",negatif
"Perusahaan melaporkan peningkatan laba bersih yang signifikan.",positif
"Penurunan harga komoditas energi membebani kinerja perusahaan.",negatif
"Penghargaan dari pemerintah meningkatkan citra perusahaan.",positif
"Penurunan permintaan dari pasar luar negeri membebani kinerja perusahaan.",negatif
"Perusahaan memperluas jaringan distribusi untuk meningkatkan penjualan.",positif
"Kenaikan tarif impor menghambat pertumbuhan industri.",negatif
"Inisiatif digitalisasi perusahaan diterima positif oleh pasar.",positif
